race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
3,5,Sleeping,13,14,14,15,15,16,15,15,30,15,15,14,14,14,14,12,11,5,4,2,2,1,1,0,0,0,0,0,1,1,2,2,2,2,1,0,1,2,2,2,4,3,4,6,7,7,9,11
3,5,Grooming,0,1,2,1,0,0,0,0,0,0,0,1,1,0,1,1,3,4,4,2,1,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,1,2,1,1,1,0
3,5,Working and related activities,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,2,3,3,3,3,3,3,4,3,3,3,2,3,5,5,5,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,Educational Activities,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5,4,4,4,3,3,3,3,2,3,4,3,5,4,2,2,3,4,2,1,1,1,0,1
3,5,Eating and Drinking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,1,4,5,2,4,4,3,3,2,3,2,1,1,3,3,3,2,2,2,4,2,2,0,0,0,0,0
3,5,Leisure and Sports,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,2,2,3,4,4,0,2,4,5,8,6,5,4,6,4,3,4,7,8,8,7,6,7,8,9,10,6,10,11,7,9,7,4
3,5,Traveling,0,1,0,1,1,0,0,0,0,0,0,0,3,2,1,3,2,1,3,4,2,2,2,1,2,6,7,5,2,1,3,3,5,3,3,5,5,4,2,1,4,5,2,1,0,0,0,0
3,5,Other,1,1,1,0,0,0,0,0,1,1,1,1,2,1,0,3,2,0,0,4,6,10,6,2,4,4,6,8,5,5,4,4,6,4,5,6,5,5,4,4,4,3,1,2,3,2,3,2
4,3,Sleeping,92,97,99,100,103,103,104,105,209,104,105,103,99,87,75,67,65,49,47,29,28,15,15,7,8,8,7,7,10,10,9,8,7,5,5,6,7,6,4,2,3,4,13,27,44,51,65,79
4,3,Grooming,2,2,3,2,0,0,0,0,0,0,1,4,14,22,19,5,11,9,11,5,7,6,6,6,3,7,3,2,4,8,8,8,7,4,3,3,5,6,9,11,7,5,12,17,13,13,13,10
4,3,Working and related activities,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,5,4,4,5,4,4,4,3,3,3,2,2,1,1,1,1,0
4,3,Educational Activities,7,4,4,2,1,1,1,1,2,1,2,1,3,5,16,30,37,39,43,49,57,56,53,51,55,48,46,45,44,41,32,32,31,31,30,27,28,25,23,27,33,35,35,27,25,17,14,10
4,3,Eating and Drinking,0,0,0,1,1,0,0,0,0,0,0,2,6,8,12,5,5,5,13,7,9,8,13,15,30,33,17,10,5,6,10,10,11,6,9,16,28,29,31,20,16,14,19,13,5,0,0,0
