"grp","day"
1,"s,150,o,90,o,150,o,120,o,60,o,120,o,240,o,30,o,60,o,30,o,60,o,60,o,60,s,210"
1,"s,450,o,120,o,5,o,235,o,20,o,310,o,120,s,180"
1,"s,225,o,30,o,10,o,60,o,10,o,120,o,10,o,60,s,195,o,15,o,10,o,60,o,215,o,60,o,10,o,30,o,30,s,290"
2,"s,90,o,60,o,10,o,5,o,45,o,20,o,45,w,45,c,220,o,60,o,45,o,10,o,30,o,5,o,5,o,20,o,60,o,10,o,60,o,30,o,30,o,180,w,85,s,270"
2,"s,360,o,10,o,15,w,15,o,10,o,5,o,10,o,25,o,60,o,60,o,40,o,20,o,30,o,30,o,30,o,30,o,5,o,145,o,5,o,15,o,30,o,130,o,10,o,80,s,270"
1,"s,300,o,5,o,15,o,5,o,15,o,260,s,90,o,60,o,15,o,15,o,60,o,30,o,15,o,45,o,60,o,30,o,30,o,30,o,60,s,300"
1,"s,180,o,30,o,15,o,15,c,280,o,35,c,145,o,10,o,2,o,45,o,60,o,5,o,168,o,5,o,25,o,60,s,60,s,300"
1,"s,300,o,30,o,45,o,45,o,35,o,25,c,30,w,120,c,120,s,60,c,150,o,45,o,20,o,205,o,30,s,180"
1,"s,300,o,10,o,10,o,5,o,60,s,95,o,180,o,35,o,2,o,120,o,10,o,60,o,25,o,30,o,20,o,40,o,15,o,1,o,92,o,90,s,240"
1,"s,420,o,240,o,25,o,30,o,95,s,80,o,190,o,120,s,240"
1,"s,110,o,15,o,5,o,60,c,320,o,30,c,65,o,55,o,60,o,5,o,85,o,30,o,120,o,30,o,120,o,20,o,40,s,270"
1,"s,270,o,20,o,30,o,15,o,180,o,15,o,30,w,60,s,160,o,45,w,30,o,30,o,20,o,85,o,10,o,20,w,45,o,15,s,360"
1,"s,240,o,5,o,30,o,25,o,45,w,90,o,30,o,30,o,10,o,30,w,60,o,10,c,70,o,10,o,30,o,5,c,90,o,5,o,10,o,5,o,30,o,190,o,10,o,110,o,15,o,20,o,15,s,220"
2,"s,180,o,60,o,2,o,2,o,7,o,4,o,90,o,15,o,15,o,105,o,60,o,90,o,45,o,15,o,105,o,7,o,5,o,2,o,120,o,60,o,30,o,30,o,15,o,60,o,60,o,46,s,210"
4,"s,300,o,60,o,15,w,105,o,5,o,60,o,20,o,60,o,20,w,125,o,60,o,180,w,130,o,30,s,270"
4,"s,360,o,30,o,15,o,15,o,5,o,265,o,5,w,115,o,30,o,5,o,2,o,18,o,215,o,20,o,15,o,5,o,120,o,10,s,190"
2,"s,120,o,5,o,15,o,20,o,10,o,460,o,10,o,15,o,60,o,150,o,30,o,45,o,30,s,470"
3,"s,90,o,60,o,5,w,5,o,10,o,10,o,30,w,32,c,246,o,39,c,118,o,45,o,10,w,140,o,30,w,120,o,30,s,420"
4,"s,180,o,45,s,75,o,30,o,5,o,10,o,5,o,30,o,45,o,30,o,20,o,20,o,15,o,45,o,15,w,45,o,30,o,45,o,45,o,45,o,30,o,20,o,15,s,115,w,120,o,20,o,30,o,15,s,295"
1,"s,270,o,60,o,15,o,3,o,20,o,5,o,10,o,15,o,20,o,107,o,20,o,90,w,20,o,65,o,10,o,10,o,3,o,5,o,10,o,10,o,3,o,69,s,90,o,15,o,15,o,15,o,20,o,125,o,15,o,5,c,60,o,15,o,10,o,10,o,10,s,195"
1,"s,420,o,20,o,60,o,30,o,15,o,60,o,6,o,5,o,5,o,90,o,20,o,120,o,60,o,60,o,169,o,120,s,180"
1,"s,270,o,15,o,75,o,120,o,60,o,90,o,510,o,30,o,45,s,225"
1,"s,330,o,5,o,25,w,150,o,30,o,10,o,150,o,15,o,5,o,45,o,225,o,50,o,20,s,380"
1,"s,420,o,180,o,60,o,30,o,270,o,15,o,10,o,20,o,5,s,430"
1,"s,45,o,45,o,30,o,960,o,30,o,60,o,30,s,240"
1,"s,150,o,50,o,20,o,60,o,80,o,20,o,15,o,35,o,170,s,120,o,45,o,135,o,10,o,200,o,5,o,25,s,240,o,60"
1,"s,250,o,20,o,5,o,5,c,16,c,240,o,5,o,25,o,5,c,60,o,5,o,60,o,20,o,4,o,5,o,90,o,5,o,15,o,15,o,30,o,2,o,30,o,5,o,10,o,90,o,2,o,120,o,30,o,3,o,90,s,178"
1,"s,660,o,60,o,15,o,15,o,5,o,20,o,30,o,5,o,60,o,20,w,70,o,60,o,30,o,30,o,30,o,150,s,180"
4,"s,360,o,30,o,45,o,45,o,30,o,630,o,120,o,20,o,15,o,30,s,115"
2,"s,240,o,120,o,30,o,15,o,375,o,15,o,20,o,60,o,10,o,15,s,540"
1,"s,330,o,10,o,60,s,80,o,15,o,165,o,60,o,10,o,170,o,15,o,165,o,10,s,350"
