race,activities
1,"s,300,o,15,o,90,s,60,o,15,o,45,o,60,c,75,o,60,o,60,o,45,o,60,o,45,o,15,o,135,o,15,o,45,s,300"
1,"s,360,o,60,o,60,o,90,w,30,o,30,o,75,o,20,o,115,o,15,o,15,o,15,o,5,o,20,o,5,o,75,o,30,o,85,o,5,o,10,o,5,s,315"
1,"s,165,o,30,o,25,c,200,o,45,c,165,o,10,o,20,o,60,w,105,o,5,o,30,o,15,w,30,o,3,o,90,o,4,o,30,o,30,o,120,s,258"
1,"s,300,o,5,o,10,o,105,o,30,o,20,o,20,o,230,o,30,o,45,o,120,o,105,o,90,s,330"
1,"s,360,o,20,o,40,o,45,o,45,o,10,o,25,o,10,o,30,o,10,o,90,o,10,o,30,o,15,o,10,o,120,o,15,o,45,o,30,o,40,o,20,o,30,o,60,s,330"
1,"s,300,o,60,w,90,o,30,w,60,o,120,o,20,o,25,o,135,o,15,o,105,o,30,o,30,w,120,o,5,s,295"
1,"s,150,o,30,o,15,o,5,o,30,o,10,c,300,o,60,c,180,o,10,o,30,o,45,o,60,o,30,o,5,o,30,o,120,s,330"
1,"s,140,o,10,o,10,o,5,o,15,o,20,o,5,o,1,o,5,o,15,o,20,o,10,w,60,o,44,o,60,o,20,o,20,o,10,o,30,w,60,o,30,o,15,o,35,o,5,o,5,o,15,o,2,o,5,o,2,o,46,o,20,o,30,o,5,o,5,o,5,o,30,o,30,o,5,o,80,o,30,o,20,o,10,o,10,o,20,o,10,o,15,w,60,o,30,o,30,s,275"
1,"s,90,o,30,o,10,o,1,o,2,o,10,c,247,o,30,c,180,o,5,o,1,o,12,s,90,o,42,o,1,o,2,o,10,o,30,o,10,o,120,o,120,o,90,o,1,o,30,o,5,o,10,s,261"
1,"s,480,o,120,o,180,o,30,o,20,o,20,o,15,o,20,o,30,o,5,o,60,o,15,o,45,o,15,o,10,o,10,o,30,o,120,s,215"
1,"s,150,o,20,o,5,o,15,o,80,w,30,o,20,o,145,o,15,o,15,o,15,o,20,s,60,o,45,o,15,o,55,o,5,o,160,o,10,o,220,o,1,o,339"
4,"s,50,o,60,o,30,o,30,o,5,o,5,o,15,o,1,o,15,o,5,o,20,o,124,o,15,o,165,o,15,o,105,o,20,o,5,o,15,o,5,o,30,o,1,o,20,o,10,o,90,o,44,o,30,o,30,o,120,s,360"
1,"s,540,o,30,o,15,o,5,o,60,o,240,o,90,o,15,o,5,o,30,o,90,o,30,o,15,s,275"
4,"s,170,o,15,o,5,o,90,o,60,o,10,o,5,o,10,o,120,o,20,o,5,o,15,o,5,o,60,w,120,o,3,o,90,o,45,o,2,o,1,o,10,o,35,o,30,o,90,o,60,o,15,s,349"
1,"o,60,o,20,o,20,o,5,o,15,o,90,c,480,o,15,o,120,o,3,o,1,o,5,o,90,o,5,o,1,o,15,o,45,o,180,o,10,o,110,o,15,o,90,o,15,o,2,o,15,s,13"
2,"s,270,o,15,o,10,o,10,o,90,o,15,c,75,o,15,o,10,o,10,o,5,o,5,o,60,o,10,o,15,o,25,o,90,w,30,o,10,o,15,c,180,o,15,o,10,w,90,o,15,o,60,o,20,o,90,o,15,s,160"
