race,activities
4,"s,60,o,15,o,15,o,20,o,10,o,180,o,15,o,105,o,20,o,30,s,130,o,30,o,120,o,150,o,30,o,30,o,15,o,105,s,360"
1,"s,300,o,15,o,15,o,10,o,20,o,15,o,15,o,15,o,90,o,20,o,10,o,15,o,60,o,1,o,60,o,1,o,15,o,120,o,15,o,90,o,15,o,60,o,15,o,118,s,330"
1,"s,120,o,45,o,22,o,13,o,10,c,210,o,30,c,310,o,3,o,10,o,10,o,2,o,6,o,20,o,120,o,40,o,15,w,40,o,15,s,399"
1,"s,360,o,15,o,30,o,435,o,30,o,60,o,30,o,60,o,30,o,30,s,360"
2,"s,330,o,90,o,15,o,75,o,5,o,145,o,15,o,125,o,15,o,2,o,35,o,15,o,63,o,45,o,30,o,30,s,405"
4,"s,180,w,420,s,240,o,30,o,10,w,80,s,480"
1,"s,420,o,15,o,10,o,10,o,10,o,180,s,75,o,20,o,30,o,20,o,20,o,10,o,230,o,10,o,20,o,180,s,180"
1,"s,240,w,90,o,15,w,135,o,10,o,30,o,120,o,10,o,15,w,175,o,25,o,15,o,30,o,10,o,5,o,15,o,20,o,20,o,10,o,2,o,30,o,20,o,20,o,10,o,15,s,353"
1,"s,660,o,180,o,30,o,240,s,330"
2,"s,420,o,30,o,15,o,60,o,90,o,10,o,5,o,10,o,5,o,1,o,10,o,120,o,10,o,60,o,120,o,45,o,5,s,424"
1,"s,240,o,20,o,5,o,80,o,5,o,110,o,10,o,130,o,10,o,80,o,20,o,180,o,10,o,15,o,20,o,145,s,360"
1,"s,120,o,20,o,10,o,15,w,30,c,315,o,45,c,135,o,90,o,5,w,60,o,60,w,295,s,240"
2,"s,120,o,30,o,10,o,5,o,15,o,30,c,208,o,25,c,202,o,5,s,60,o,10,o,120,o,15,o,120,o,15,o,10,s,200,o,60,s,180"
1,"s,240,o,30,o,30,o,30,o,30,o,15,o,60,o,40,o,15,o,150,o,150,o,45,o,60,o,125,o,30,o,150,o,30,o,40,o,20,o,1,s,149"
1,"s,180,o,45,o,20,o,25,c,150,o,15,c,90,o,15,c,120,o,25,o,45,o,45,o,45,o,20,o,15,o,20,w,45,o,60,o,15,o,10,s,435"
1,"s,225,s,60,o,15,o,60,o,30,o,180,o,15,o,15,o,120,o,5,o,85,o,150,o,20,o,85,w,40,o,5,s,330"
